country,gender,2020,2021,2022,2023,2024
Guinea-Bissau,male,993130,1016116,1039679,1063795,1088010
Guinea-Bissau,female,1020125,1042725,1065850,1089544,1113342
Guyana,male,394212,397649,400371,402457,404584
Guyana,female,413269,417833,421266,423896,426503
Haiti,male,5575373,5637251,5698315,5761588,5825356
Haiti,female,5668475,5737335,5805291,5875810,5947201
Honduras,male,5098597,5182860,5269396,5359700,5449967
Honduras,female,5021043,5107017,5194476,5285151,5375736
"Hong Kong SAR, China",male,3378536,3344789,3313817,3397208,3378130
"Hong Kong SAR, China",female,4102464,4068311,4032283,4138892,4120805
Hungary,male,4672406,4655255,4625983,4602840,4592879
Hungary,female,5077743,5054636,5018394,4989346,4972060
Iceland,male,187964,190908,195691,201394,204095
Iceland,female,178499,181612,186312,191955,194489
India,male,724175467,729924103,735531456,741883264,748323427
India,female,678442228,684279793,689891756,696186332,702612364
Indonesia,male,138073249,139031455,140070494,141255767,142407916
Indonesia,female,136741617,137726598,138760035,139934300,141080015
"Iran, Islamic Rep.",male,44652495,45006117,45529146,46061602,46532057
"Iran, Islamic Rep.",female,43070948,43449371,43995100,44547105,45035681
Iraq,male,21099579,21586716,22099525,22614115,23111081
Iraq,female,21017026,21484495,21971026,22459934,22930934
Ireland,male,2468537,2491968,2557643,2627523,2654679
Ireland,female,2516845,2541196,2608057,2680077,2708104
Isle of Man,male,41663,41670,41675,41683,41666
Isle of Man,female,42401,42436,42457,42482,42494
Israel,male,4579637,4659605,4754582,4855903,4925263
Israel,female,4635463,4711795,4802918,4900697,4966580
Italy,male,28998396,28862431,28813924,28815309,28733958
Italy,female,30440455,30270742,30199743,30178166,30056814
Jamaica,male,1401936,1404823,1404988,1404742,1403966
Jamaica,female,1428803,1432859,1434156,1435044,1435209
Japan,male,61682937,61380214,61088674,60771087,60381253
Japan,female,64578063,64301379,64036315,63745563,63391659
Jordan,male,5618293,5718054,5812290,5903251,5957377
Jordan,female,5246935,5348302,5443973,5535962,5595499
Kazakhstan,male,9452899,9601078,9748452,9897043,10029906
Kazakhstan,female,10029218,10142525,10286157,10433061,10562665
Kenya,male,25983597,26473100,26980543,27517012,28056072
Kenya,female,26233737,26746066,27271918,27821991,28376872
Kiribati,male,60859,62041,63132,64231,65279
Kiribati,female,65240,66336,67337,68299,69239
"Korea, Dem. People's Rep.",male,12885558,12942570,13002441,13058006,13108717
"Korea, Dem. People's Rep.",female,13250754,13289964,13326404,13360198,13390106
"Korea, Rep.",male,25892321,25836875,25785791,25813829,25772999
"Korea, Rep.",female,25943918,25932664,25886778,25898790,25862173
Kosovo,male,880833,878702,869746,863921,858022
Kosovo,female,909319,907378,898350,892445,886426
Kuwait,male,2681545,2645375,2802181,2968226,3028103
Kuwait,female,1718722,1715490,1787462,1885194,1926815
Kyrgyz Republic,male,3329323,3389069,3449173,3510290,3564902
Kyrgyz Republic,female,3397273,3462155,3526047,3589460,3646526
Lao PDR,male,3693722,3746469,3799149,3851871,3904034
Lao PDR,female,3652811,3706725,3759858,3813122,3865785
Latvia,male,877942,871380,869801,869612,862991
Latvia,female,1022507,1013110,1009582,1007833,998495
Lebanon,male,2770020,2777715,2791093,2806602,2823634
Lebanon,female,2932378,2940407,2953396,2966891,2982328
Lesotho,male,1087804,1100677,1112982,1125727,1138892
Lesotho,female,1147923,1160865,1173128,1185745,1198531
Liberia,male,2567665,2623166,2680814,2741343,2801892
Liberia,female,2581798,2636157,2692480,2751688,2810925
Libya,male,3587984,3630945,3673880,3714641,3752970
Libya,female,3457415,3504230,3549925,3591018,3628053
Liechtenstein,male,19300,19445,19607,19792,19935
Liechtenstein,female,19601,19737,19886,20058,20189
Lithuania,male,1308712,1316573,1333125,1354049,1347713
Lithuania,female,1486173,1484266,1498514,1517536,1507628
Luxembourg,male,317216,322269,328782,335347,339266
Luxembourg,female,313203,317795,324321,331083,334771
"Macao SAR, China",male,318480,316373,313254,313119,309476
"Macao SAR, China",female,366920,366127,364046,365681,362549
Madagascar,male,14523992,14893095,15266903,15646930,16032529
Madagascar,female,14429564,14797988,15170358,15549002,15932427
Malawi,male,9522275,9774487,10030976,10295096,10567044
Malawi,female,10011613,10272771,10537752,10809386,11088242
Malaysia,male,17821824,18008669,18204478,18410069,18617794
Malaysia,female,16067734,16273730,16491015,16716229,16939879
Maldives,male,309481,320476,326186,326618,326805
Maldives,female,192637,195678,197920,199376,200994
Mali,male,10960973,11300445,11644587,11994667,12350772
Mali,female,10752863,11088185,11428053,11774460,12127823
Malta,male,266862,269221,275913,286837,290090
Malta,female,248470,249315,255598,265910,268863
Marshall Islands,male,21876,21193,20539,19903,19237
Marshall Islands,female,20830,20174,19538,18924,18311
Mauritania,male,2250118,2317615,2388274,2461966,2535726
Mauritania,female,2350013,2417259,2487363,2560475,2633669
Mauritius,male,635144,634944,632186,630308,628460
Mauritius,female,630870,631390,630337,630733,630580
Mexico,male,61635476,61979793,62401721,62926132,63459580
Mexico,female,65163578,65668355,66211396,66813627,67401427
"Micronesia, Fed. Sts.",male,55187,55517,55739,55975,56217
"Micronesia, Fed. Sts.",female,55729,56107,56375,56655,56943
Moldova,male,1215366,1195953,1164180,1131190,1115270
Moldova,female,1419764,1399856,1364474,1326593,1308621
Monaco,male,18624,18875,19072,19069,18900
Monaco,female,19426,19652,19859,19887,19731
Mongolia,male,1664145,1690954,1714580,1736814,1757460
Mongolia,female,1663059,1692787,1719168,1744331,1767520
Montenegro,male,299143,297964,296958,296508,295642
Montenegro,female,322163,321247,320255,319669,318616
Morocco,male,18471768,18653397,18837517,19023229,19202022
Morocco,female,18112440,18301045,18491547,18689276,18879151
Mozambique,male,14896433,15354329,15823809,16307299,16802082
Mozambique,female,15887255,16353471,16832437,17327861,17829684
Myanmar,male,26431199,26606252,26779327,26956235,27128841
Myanmar,female,26585323,26780850,26977460,27177563,27371250
Namibia,male,1330536,1371399,1410918,1447110,1479806
Namibia,female,1398226,1439149,1478744,1515985,1550325
Nauru,male,5940,5964,6010,6048,6083
Nauru,female,5703,5745,5791,5827,5864
Nepal,male,13942564,14240049,14345261,14279233,14200276
Nepal,female,15024010,15234961,15370175,15415381,15450778
Netherlands,male,8654519,8702691,8789000,8879266,8940138
Netherlands,female,8786981,8830353,8911982,8997851,9055430
New Caledonia,male,140422,140756,141591,142962,144353
New Caledonia,female,143754,144458,145532,146908,148286
New Zealand,male,2526832,2537464,2541107,2594480,2613937
New Zealand,female,2563368,2573836,2576093,2628620,2646982
Nicaragua,male,3227997,3266527,3309012,3355587,3401957
Nicaragua,female,3337270,3378214,3421642,3468026,3514183
Niger,male,12041757,12439986,12851424,13282161,13725328
Niger,female,11675856,12062154,12460549,12877706,13307084
Nigeria,male,108098757,110418029,112784704,115206932,117673771
Nigeria,female,105897424,108111257,110366192,112676013,115005707
North Macedonia,male,904013,893711,890868,888945,884832
North Macedonia,female,952111,943403,940844,938871,934030
Northern Mariana Islands,male,24987,24717,24266,23798,23379
Northern Mariana Islands,female,22541,22262,21812,21345,20899
Norway,male,2712887,2728311,2751427,2781137,2807677
Norway,female,2666588,2680009,2705700,2738457,2763566
Oman,male,2808741,2750964,2911700,3134491,3285829
Oman,female,1713756,1749460,1818526,1914778,1995709
Pakistan,male,119954020,122119349,124068400,125731249,127433406
Pakistan,female,115047726,117358452,119632267,121773246,123835758
Palau,male,9616,9601,9579,9555,9530
Palau,female,8176,8182,8180,8172,8165
Panama,male,2148782,2174004,2201198,2229872,2258004
Panama,female,2144479,2171401,2199575,2228887,2257573
Papua New Guinea,male,5067943,5164383,5257153,5347981,5439223
Papua New Guinea,female,4747803,4848513,4946016,5041654,5137279
Paraguay,male,3316874,3355140,3391532,3432398,3474116
Paraguay,female,3286865,3329042,3368932,3411748,3455037
Peru,male,16356574,16498081,16651798,16835443,17017564
Peru,female,16482005,16657801,16823640,17010174,17200284
Philippines,male,55905489,56419691,56849247,57310817,57784107
Philippines,female,56175775,56681259,57115091,57580382,58059563
Poland,male,18386848,17930592,17846011,17778895,17613101
Poland,female,19512222,19050967,18975738,18908458,18740703
Portugal,male,4891846,4931123,4970696,5039019,5032088
Portugal,female,5405235,5430708,5463636,5539155,5532072
Puerto Rico,male,1550858,1540028,1518441,1510456,1506710
Puerto Rico,female,1730699,1722665,1701672,1695235,1693349
Qatar,male,2014848,1799084,1909216,1899495,1942553
Qatar,female,779300,705826,748117,756537,782667
Romania,male,9333773,9263671,9226047,9231680,9182060
Romania,female,9931477,9858388,9822455,9827799,9775928
Russian Federation,male,67452297,67241043,67006593,66785451,66420786
Russian Federation,female,77792851,77505719,77230340,77040679,76709822
Rwanda,male,6356319,6500904,6649385,6802408,6954758
Rwanda,female,6709518,6854356,7001645,7152063,7301809
Samoa,male,106693,107521,108319,109072,109794
Samoa,female,105251,106258,106942,107591,108225
San Marino,male,16883,16685,16545,16647,16574
San Marino,female,17887,17567,17210,17213,17133
Sao Tome and Principe,male,108302,110497,112605,114817,117078
Sao Tome and Principe,female,109133,111464,113700,116054,118458
Saudi Arabia,male,19212001,18696564,19541415,20176188,20498635
Saudi Arabia,female,12340509,12087819,12633809,13088104,13363593
Senegal,male,8499022,8738686,8976177,9197809,9405151
Senegal,female,8290197,8482181,8674926,8879764,9096833
Serbia,male,3286876,3255703,3170686,3145423,3121213
Serbia,female,3612250,3578623,3493763,3477760,3457749
Seychelles,male,53936,54535,66035,66093,67395
Seychelles,female,44526,44723,53843,53680,54777
Sierra Leone,male,3944195,4035669,4127081,4219052,4309971
Sierra Leone,female,3968363,4058933,4149726,4241460,4332051
Singapore,male,2943595,2818680,2913050,3058830,3077228
Singapore,female,2742212,2634886,2723972,2858818,2878637
Sint Maarten (Dutch part),male,19954,20279,20567,20834,21096
Sint Maarten (Dutch part),female,21054,21292,21572,21915,22254
Slovak Republic,male,2666263,2660428,2652430,2649630,2636910
Slovak Republic,female,2792564,2786819,2779322,2777110,2764366
Slovenia,male,1054875,1057919,1060216,1064777,1064766
Slovenia,female,1047544,1050160,1051860,1055684,1054341
Solomon Islands,male,380922,390072,399453,409073,418847
Solomon Islands,female,363576,372519,381613,390932,400351
Somalia,male,8342147,8653664,8919555,9197829,9522790
Somalia,female,8309044,8617767,8882342,9160786,9486361
South Africa,male,29381179,29853373,30305843,30750477,31152952
South Africa,female,31181202,31649230,32072567,32461907,32854235
South Sudan,male,5263796,5345854,5421742,5648789,5874364
South Sudan,female,5434671,5519926,5599435,5834585,6069044
Spain,male,23263106,23285859,23451633,23738661,23730386
Spain,female,24102549,24129935,24307494,24609249,24604754
Sri Lanka,male,10614757,10726745,10735875,10663588,10720763
Sri Lanka,female,11304243,11429255,11445125,11373412,11438631
St. Kitts and Nevis,male,22589,22483,22415,22408,22423
St. Kitts and Nevis,female,24281,24280,24294,24350,24420
St. Lucia,male,88387,88409,88433,88599,88743
St. Lucia,female,89863,90113,90348,90686,91001
St. Martin (French part),male,15136,14049,13534,12857,12150
St. Martin (French part),female,16650,15912,15336,14658,13979
St. Vincent and the Grenadines,male,53054,52584,52100,51665,51236
St. Vincent and the Grenadines,female,50472,50257,49946,49658,49380
Sudan,male,23223742,23852137,24500431,24821596,25012749
Sudan,female,23565489,24214787,24882915,25221195,25436214
Suriname,male,306915,309422,311765,314349,316926
Suriname,female,305402,308474,311399,314537,317505
Sweden,male,5209347,5241846,5279578,5306045,5330902
Sweden,female,5144095,5173965,5207363,5230587,5253394
Switzerland,male,4285901,4320579,4357730,4413928,4437677
Switzerland,female,4352266,4383967,4419358,4474165,4495284
Syrian Arab Republic,male,10520993,10810785,11228512,11795581,12341170
Syrian Arab Republic,female,10528436,10818054,11233661,11799042,12331590
Tajikistan,male,4775554,4885967,4995578,5101342,5203997
Tajikistan,female,4973756,5080941,5186644,5288457,5386930
Tanzania,male,30204465,31128864,32065744,33013815,33983247
Tanzania,female,30768333,31701548,32646077,33603791,34576910
Thailand,male,35040395,35041134,35005295,34950007,34895390
Thailand,female,36601089,36686198,36730034,36752428,36772621
Timor-Leste,male,669693,680874,690107,697774,706128
Timor-Leste,female,656360,669265,679188,686512,694510
Togo,male,4358406,4464569,4572254,4681655,4789204
Togo,female,4311314,4413810,4517484,4622682,4726032
Tonga,male,51140,50721,50151,49590,49213
Tonga,female,54564,54769,54891,55007,54962
Trinidad and Tobago,male,675655,676008,675404,676306,678205
Trinidad and Tobago,female,691070,691550,690401,691204,693721
Tunisia,male,5934715,5966587,5997034,6033405,6068423
Tunisia,female,6039342,6082035,6122300,6167026,6208686
Turkiye,male,41714021,42065122,42453487,42606561,42689164
Turkiye,female,41670659,42082196,42526426,42719404,42836580
Turkmenistan,male,3403211,3472736,3542130,3611349,3678122
Turkmenistan,female,3546701,3619307,3688063,3753089,3816376
Turks and Caicos Islands,male,22263,22673,22963,23133,23291
Turks and Caicos Islands,female,22123,22570,22884,23065,23244
Tuvalu,male,5322,5213,5110,5021,4936
Tuvalu,female,5077,4981,4882,4795,4710
Uganda,male,22019413,22747489,23449750,24122612,24805126
Uganda,female,22437739,23163441,23862969,24533989,25209966
Ukraine,male,20820757,20644066,19117441,17544336,17598051
Ukraine,female,23859257,23654574,21931325,20188500,20262170
United Arab Emirates,male,6052695,6149382,6458376,6710892,6937007
United Arab Emirates,female,3348343,3425770,3616601,3772859,3918788
United Kingdom,male,32995645,32982002,33367124,33648677,33863704
United Kingdom,female,34085589,34044290,34423876,34701323,34907344
United States,male,166732375,166957773,167519513,168286299,169176004
United States,female,164794558,165091204,165751898,166628596,167541788
Uruguay,male,1648503,1647432,1644412,1643010,1642560
Uruguay,female,1750465,1749263,1746501,1745071,1744028
Uzbekistan,male,16928447,17264132,17618709,17982214,18343712
Uzbekistan,female,16657925,16979564,17320246,17670093,18018147
Vanuatu,male,151162,154582,158130,161798,165465
Vanuatu,female,147696,151286,154916,158611,162312
"Venezuela, RB",male,14083715,13972114,13952027,13988508,14033859
"Venezuela, RB",female,14360362,14265712,14260990,14312346,14371684
Viet Nam,male,48017590,48448495,48821207,49150969,49461399
Viet Nam,female,50061601,50486603,50859448,51201223,51526287
Virgin Islands (U.S.),male,51479,51040,50595,50142,49515
Virgin Islands (U.S.),female,54811,54830,54818,54775,54501
West Bank and Gaza,male,2386360,2446625,2507671,2567330,2606776
West Bank and Gaza,female,2416909,2476124,2535941,2598445,2644123
"Yemen, Rep.",male,18304570,18809390,19356445,19950332,20558038
"Yemen, Rep.",female,17830293,18330840,18866431,19440467,20025126
Zambia,male,9433237,9702842,9973857,10256248,10550240
Zambia,female,9626158,9900765,10179081,10467717,10764716
Zimbabwe,male,7370588,7505482,7642717,7780934,7929088
Zimbabwe,female,8156300,8291728,8426339,8559888,8705285
