Country Name,Country Code,Series Name,Series Code,2020 _YR2020_,2021 _YR2021_,2022 _YR2022_,2023 _YR2023_,2024 _YR2024_
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,
Last Updated: 12/16/2024,,,,,,,,
Poland,POL,"Population, male",SP.POP.TOTL.MA.IN,18386848,17930592,17846011,17778895,17613101
Portugal,PRT,"Population, male",SP.POP.TOTL.MA.IN,4891846,4931123,4970696,5039019,5032088
Puerto Rico,PRI,"Population, male",SP.POP.TOTL.MA.IN,1550858,1540028,1518441,1510456,1506710
Qatar,QAT,"Population, male",SP.POP.TOTL.MA.IN,2014848,1799084,1909216,1899495,1942553
Romania,ROU,"Population, male",SP.POP.TOTL.MA.IN,9333773,9263671,9226047,9231680,9182060
Russian Federation,RUS,"Population, male",SP.POP.TOTL.MA.IN,67452297,67241043,67006593,66785451,66420786
Rwanda,RWA,"Population, male",SP.POP.TOTL.MA.IN,6356319,6500904,6649385,6802408,6954758
Samoa,WSM,"Population, male",SP.POP.TOTL.MA.IN,106693,107521,108319,109072,109794
San Marino,SMR,"Population, male",SP.POP.TOTL.MA.IN,16883,16685,16545,16647,16574
Sao Tome and Principe,STP,"Population, male",SP.POP.TOTL.MA.IN,108302,110497,112605,114817,117078
Saudi Arabia,SAU,"Population, male",SP.POP.TOTL.MA.IN,19212001,18696564,19541415,20176188,20498635
Senegal,SEN,"Population, male",SP.POP.TOTL.MA.IN,8499022,8738686,8976177,9197809,9405151
Serbia,SRB,"Population, male",SP.POP.TOTL.MA.IN,3286876,3255703,3170686,3145423,3121213
Seychelles,SYC,"Population, male",SP.POP.TOTL.MA.IN,53936,54535,66035,66093,67395
Sierra Leone,SLE,"Population, male",SP.POP.TOTL.MA.IN,3944195,4035669,4127081,4219052,4309971
Singapore,SGP,"Population, male",SP.POP.TOTL.MA.IN,2943595,2818680,2913050,3058830,3077228
Sint Maarten (Dutch part),SXM,"Population, male",SP.POP.TOTL.MA.IN,19954,20279,20567,20834,21096
Slovak Republic,SVK,"Population, male",SP.POP.TOTL.MA.IN,2666263,2660428,2652430,2649630,2636910
Slovenia,SVN,"Population, male",SP.POP.TOTL.MA.IN,1054875,1057919,1060216,1064777,1064766
Solomon Islands,SLB,"Population, male",SP.POP.TOTL.MA.IN,380922,390072,399453,409073,418847
Somalia,SOM,"Population, male",SP.POP.TOTL.MA.IN,8342147,8653664,8919555,9197829,9522790
South Africa,ZAF,"Population, male",SP.POP.TOTL.MA.IN,29381179,29853373,30305843,30750477,31152952
South Sudan,SSD,"Population, male",SP.POP.TOTL.MA.IN,5263796,5345854,5421742,5648789,5874364
Spain,ESP,"Population, male",SP.POP.TOTL.MA.IN,23263106,23285859,23451633,23738661,23730386
Sri Lanka,LKA,"Population, male",SP.POP.TOTL.MA.IN,10614757,10726745,10735875,10663588,10720763
St. Kitts and Nevis,KNA,"Population, male",SP.POP.TOTL.MA.IN,22589,22483,22415,22408,22423
St. Lucia,LCA,"Population, male",SP.POP.TOTL.MA.IN,88387,88409,88433,88599,88743
St. Martin (French part),MAF,"Population, male",SP.POP.TOTL.MA.IN,15136,14049,13534,12857,12150
St. Vincent and the Grenadines,VCT,"Population, male",SP.POP.TOTL.MA.IN,53054,52584,52100,51665,51236
Sudan,SDN,"Population, male",SP.POP.TOTL.MA.IN,23223742,23852137,24500431,24821596,25012749
Suriname,SUR,"Population, male",SP.POP.TOTL.MA.IN,306915,309422,311765,314349,316926
Sweden,SWE,"Population, male",SP.POP.TOTL.MA.IN,5209347,5241846,5279578,5306045,5330902
Switzerland,CHE,"Population, male",SP.POP.TOTL.MA.IN,4285901,4320579,4357730,4413928,4437677
Syrian Arab Republic,SYR,"Population, male",SP.POP.TOTL.MA.IN,10520993,10810785,11228512,11795581,12341170
Tajikistan,TJK,"Population, male",SP.POP.TOTL.MA.IN,4775554,4885967,4995578,5101342,5203997
Tanzania,TZA,"Population, male",SP.POP.TOTL.MA.IN,30204465,31128864,32065744,33013815,33983247
Thailand,THA,"Population, male",SP.POP.TOTL.MA.IN,35040395,35041134,35005295,34950007,34895390
Timor-Leste,TLS,"Population, male",SP.POP.TOTL.MA.IN,669693,680874,690107,697774,706128
Togo,TGO,"Population, male",SP.POP.TOTL.MA.IN,4358406,4464569,4572254,4681655,4789204
Tonga,TON,"Population, male",SP.POP.TOTL.MA.IN,51140,50721,50151,49590,49213
Trinidad and Tobago,TTO,"Population, male",SP.POP.TOTL.MA.IN,675655,676008,675404,676306,678205
Tunisia,TUN,"Population, male",SP.POP.TOTL.MA.IN,5934715,5966587,5997034,6033405,6068423
Turkiye,TUR,"Population, male",SP.POP.TOTL.MA.IN,41714021,42065122,42453487,42606561,42689164
Turkmenistan,TKM,"Population, male",SP.POP.TOTL.MA.IN,3403211,3472736,3542130,3611349,3678122
Turks and Caicos Islands,TCA,"Population, male",SP.POP.TOTL.MA.IN,22263,22673,22963,23133,23291
Tuvalu,TUV,"Population, male",SP.POP.TOTL.MA.IN,5322,5213,5110,5021,4936
Uganda,UGA,"Population, male",SP.POP.TOTL.MA.IN,22019413,22747489,23449750,24122612,24805126
Ukraine,UKR,"Population, male",SP.POP.TOTL.MA.IN,20820757,20644066,19117441,17544336,17598051
United Arab Emirates,ARE,"Population, male",SP.POP.TOTL.MA.IN,6052695,6149382,6458376,6710892,6937007
United Kingdom,GBR,"Population, male",SP.POP.TOTL.MA.IN,32995645,32982002,33367124,33648677,33863704
United States,USA,"Population, male",SP.POP.TOTL.MA.IN,166732375,166957773,167519513,168286299,169176004
Uruguay,URY,"Population, male",SP.POP.TOTL.MA.IN,1648503,1647432,1644412,1643010,1642560
Uzbekistan,UZB,"Population, male",SP.POP.TOTL.MA.IN,16928447,17264132,17618709,17982214,18343712
Vanuatu,VUT,"Population, male",SP.POP.TOTL.MA.IN,151162,154582,158130,161798,165465
"Venezuela, RB",VEN,"Population, male",SP.POP.TOTL.MA.IN,14083715,13972114,13952027,13988508,14033859
Viet Nam,VNM,"Population, male",SP.POP.TOTL.MA.IN,48017590,48448495,48821207,49150969,49461399
Virgin Islands (U.S.),VIR,"Population, male",SP.POP.TOTL.MA.IN,51479,51040,50595,50142,49515
West Bank and Gaza,PSE,"Population, male",SP.POP.TOTL.MA.IN,2386360,2446625,2507671,2567330,2606776
"Yemen, Rep.",YEM,"Population, male",SP.POP.TOTL.MA.IN,18304570,18809390,19356445,19950332,20558038
Zambia,ZMB,"Population, male",SP.POP.TOTL.MA.IN,9433237,9702842,9973857,10256248,10550240
Zimbabwe,ZWE,"Population, male",SP.POP.TOTL.MA.IN,7370588,7505482,7642717,7780934,7929088
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,19343529,19813956,20103167,20530683,21114952
Africa Eastern and Southern,AFE,"Population, female",SP.POP.TOTL.FE.IN,350869705,360249371,369655503,379025748,388462189
Africa Western and Central,AFW,"Population, female",SP.POP.TOTL.FE.IN,235687925,241282911,246948301,252899429,259011880
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,1433321,1420794,1404107,1388342,1378039
Algeria,DZA,"Population, female",SP.POP.TOTL.FE.IN,21551767,21912671,22270515,22614984,22939924
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,24591,24337,23912,23520,23163
